text,label,pmid,pmcid,fetching_date,cui,normalized_name,normalization_source,url
humans stomach neoplasms,ORGANISM,40788742,40788742,2025-08-18 15:46:55.212,,,,
gastric cancer,CANCER,40788742,40788742,2025-08-18 15:46:55.212,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
patients,ORGANISM,40788742,40788742,2025-08-18 15:46:55.212,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
disease,CANCER,40788742,40788742,2025-08-18 15:46:55.212,C0012634,Disease,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0012634
gastric cancer patients,CANCER,40788742,40788742,2025-08-18 15:46:55.212,C3533302,Functional assessment of cancer therapy for patients with gastric cancer questionnaire - version 4,LNC,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C3533302
humans stomach neoplasms pyridones,ORGANISM,40787830,40787830,2025-08-18 15:46:55.317,,,,
cell line,CELL,40787830,40787830,2025-08-18 15:46:55.317,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
tumor cell,CELL,40787830,40787830,2025-08-18 15:46:55.317,C5551176,Tumor cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C5551176
quinazolinones,SIMPLE_CHEMICAL,40787830,40787830,2025-08-18 15:46:55.317,C1720912,Quinazolinones,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1720912
cell,CELL,40787830,40787830,2025-08-18 15:46:55.317,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
myeloid cell leukemia sequence 1 protein,CELL,40787830,40787830,2025-08-18 15:46:55.317,C1510444,Myeloid Cell Leukemia Sequence 1 Protein,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1510444
extracellular signal-regulated map kinases map kinase signaling,GENE_OR_GENE_PRODUCT,40787830,40787830,2025-08-18 15:46:55.317,C0600388,Extracellular Signal Regulated Kinases,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0600388
gastric cancer,CANCER,40787830,40787830,2025-08-18 15:46:55.317,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
p-erk trametinib,GENE_OR_GENE_PRODUCT,40787830,40787830,2025-08-18 15:46:55.317,,,,
halofuginone,SIMPLE_CHEMICAL,40787830,40787830,2025-08-18 15:46:55.317,C0062095,halofuginone,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0062095
gastric cancer cells,CELL,40787830,40787830,2025-08-18 15:46:55.317,C4076910,GMBP1 peptide,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4076910
trametinib,SIMPLE_CHEMICAL,40787830,40787830,2025-08-18 15:46:55.317,C2697961,trametinib,RXNORM,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2697961
erk,GENE_OR_GENE_PRODUCT,40787830,40787830,2025-08-18 15:46:55.317,C0752312,Mitogen-Activated Protein Kinases,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0752312
gastric cancer cells,CANCER,40787830,40787830,2025-08-18 15:46:55.317,C4076910,GMBP1 peptide,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4076910
cisplatin,SIMPLE_CHEMICAL,40785690,40785690,2025-08-18 15:46:55.403,C0008838,cisplatin,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0008838
humans esomeprazole stomach neoplasms cell line,ORGANISM,40785690,40785690,2025-08-18 15:46:55.403,,,,
tumor,CANCER,40785690,40785690,2025-08-18 15:46:55.403,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
dna,CELLULAR_COMPONENT,40785690,40785690,2025-08-18 15:46:55.403,C0012854,DNA,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0012854
cell,CELL,40785690,40785690,2025-08-18 15:46:55.403,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
membrane,CELLULAR_COMPONENT,40785690,40785690,2025-08-18 15:46:55.403,C0025255,Membrane Tissue,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0025255
